Unnamed: 0,ID,Case Number,Date,place,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3359085,10067029,HY255895,05/11/2015 02:00:00 PM,003XX S CICERO AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,True,False,1533,15.0,24.0,25.0,26,1144438.0,1898165.0,2015,08/17/2015 03:03:40 PM,41.876581037,-87.745137513,"(41.876581037, -87.745137513)"
3383219,10108838,HY297569,06/11/2015 01:20:00 AM,069XX S YALE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,True,False,731,7.0,6.0,69.0,15,1175826.0,1858852.0,2015,08/17/2015 03:03:40 PM,41.768054662,-87.631071089,"(41.768054662, -87.631071089)"
3517094,10341313,HY531902,12/10/2015 01:27:00 PM,036XX N MILWAUKEE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",True,False,1731,17.0,38.0,16.0,18,1146726.0,1923676.0,2015,12/17/2015 03:55:47 PM,41.946542477,-87.736084376,"(41.946542477, -87.736084376)"
3020458,9401638,HW544512,11/22/2013 05:00:00 PM,083XX S ASHLAND AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BARBERSHOP,False,False,614,6.0,18.0,71.0,11,1167124.0,1849446.0,2013,02/04/2016 06:33:39 AM,41.742433848,-87.663236494,"(41.742433848, -87.663236494)"
2938157,9267793,HW412863,08/17/2013 09:00:00 PM,019XX N LINCOLN PARK WEST,0810,THEFT,OVER $500,STREET,False,False,1814,18.0,43.0,7.0,06,1173951.0,1913103.0,2013,02/04/2016 06:33:39 AM,41.916965596,-87.636330004,"(41.916965596, -87.636330004)"
2736524,8943054,HV615187,12/23/2012 05:30:00 AM,015XX N LECLAIRE AVE,0810,THEFT,OVER $500,STREET,False,False,2533,25.0,37.0,25.0,06,1142094.0,1909660.0,2012,02/04/2016 06:33:39 AM,41.908168445,-87.753458801,"(41.908168445, -87.753458801)"
2432973,8463106,HV140223,01/31/2012 08:22:00 PM,071XX S ASHLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,True,False,735,7.0,17.0,67.0,26,1166911.0,1857552.0,2012,02/04/2016 06:33:39 AM,41.764682386,-87.663785792,"(41.764682386, -87.663785792)"
2548031,8646084,HV321010,06/05/2012 04:50:00 PM,020XX W HARRISON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1211,12.0,2.0,28.0,26,1162915.0,1897369.0,2012,02/04/2016 06:33:39 AM,41.874029235,-87.677318051,"(41.874029235, -87.677318051)"
6222680,10800542,HZ571083,12/31/2016 03:30:00 AM,016XX N ORCHARD ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1813,18.0,43.0,7.0,06,1171377.0,1910935.0,2016,01/07/2017 03:56:13 PM,41.911073507,-87.645850633,"(41.911073507, -87.645850633)"
3483392,10283373,HY471496,10/22/2015 12:40:00 AM,0000X S WHIPPLE ST,0460,BATTERY,SIMPLE,STREET,False,False,1124,11.0,28.0,27.0,08B,1156167.0,1899639.0,2015,10/29/2015 03:54:40 PM,41.880397195,-87.702032315,"(41.880397195, -87.702032315)"
2969034,9317435,HW461480,09/21/2013 04:41:00 PM,016XX N CLAREMONT AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,True,False,1434,14.0,1.0,24.0,26,1160441.0,1910921.0,2013,02/04/2016 06:33:39 AM,41.911268595,-87.686026053,"(41.911268595, -87.686026053)"
6158234,10703359,HZ459117,10/03/2016 09:30:00 AM,074XX S ASHLAND AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,False,False,734,7.0,17.0,67.0,03,1166971.0,1855393.0,2016,10/10/2016 03:48:36 PM,41.758756518,-87.663627483,"(41.758756518, -87.663627483)"
2953250,9291440,HW435925,09/02/2013 01:30:00 AM,111XX S ABERDEEN ST,0325,ROBBERY,VEHICULAR HIJACKING,STREET,False,False,2234,22.0,34.0,75.0,03,1170985.0,1830716.0,2013,02/04/2016 06:33:39 AM,41.690952577,-87.649634737,"(41.690952577, -87.649634737)"
2936447,9265637,HW410091,08/16/2013 11:15:00 AM,079XX S DR MARTIN LUTHER KING JR DR,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,False,False,623,6.0,6.0,44.0,10,1180275.0,1852542.0,2013,02/04/2016 06:33:39 AM,41.750638505,-87.614956708,"(41.750638505, -87.614956708)"
3227013,9756585,HX406351,08/28/2014 06:50:00 PM,011XX N PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1112,11.0,27.0,23.0,18,1149509.0,1907406.0,2014,02/04/2016 06:33:39 AM,41.901842459,-87.726278212,"(41.901842459, -87.726278212)"
2768947,8995347,HW142696,02/03/2013 02:30:00 AM,008XX W DIVERSEY PKWY,0330,ROBBERY,AGGRAVATED,OTHER,False,False,1933,19.0,44.0,6.0,03,1170372.0,1918813.0,2013,02/04/2016 06:33:39 AM,41.932713177,-87.64931178,"(41.932713177, -87.64931178)"
